skor_total,skor_sd,skor_teknikal,skor_komoditas,skor_sentimen,skor_kalender,proba_naik,sinyal,ticker,sektor,rank,tanggal
49.6,88.6,30.0,50.0,50.0,0,0.421,SKIP,PTBA.JK,tambang,1,2026-03-26
47.7,79.8,30.0,50.0,50.0,0,0.421,SKIP,ITMG.JK,tambang,2,2026-03-26
46.4,73.6,30.0,50.0,50.0,0,0.421,SKIP,ADRO.JK,tambang,3,2026-03-26
41.5,59.4,30.0,50.0,50.0,0,0.374,SKIP,ASII.JK,lainnya,4,2026-03-26
39.4,49.2,30.0,50.0,50.0,0,0.375,SKIP,TLKM.JK,lainnya,5,2026-03-26
38.3,52.9,30.0,50.0,50.0,0,0.327,SKIP,BMRI.JK,perbankan,6,2026-03-26
37.6,40.5,30.0,50.0,50.0,0,0.375,SKIP,ISAT.JK,lainnya,7,2026-03-26
32.9,9.8,30.0,50.0,50.0,0,0.418,SKIP,AKRA.JK,energi,8,2026-03-26
32.7,8.4,30.0,50.0,50.0,0,0.421,SKIP,ANTM.JK,tambang,9,2026-03-26
32.4,15.6,30.0,50.0,50.0,0,0.375,SKIP,ABMM.JK,lainnya,10,2026-03-26
32.0,5.1,30.0,50.0,50.0,0,0.421,SKIP,INCO.JK,tambang,11,2026-03-26
32.0,5.4,30.0,50.0,50.0,0,0.418,SKIP,PGAS.JK,energi,12,2026-03-26
31.7,4.1,30.0,50.0,50.0,0,0.418,SKIP,ELSA.JK,energi,13,2026-03-26
31.5,3.5,30.0,50.0,50.0,0,0.418,SKIP,MEDC.JK,energi,14,2026-03-26
31.2,10.2,30.0,50.0,50.0,0,0.375,SKIP,LPPF.JK,lainnya,15,2026-03-26
30.7,7.7,30.0,50.0,50.0,0,0.375,SKIP,UNTR.JK,lainnya,16,2026-03-26
30.5,6.9,30.0,50.0,50.0,0,0.375,SKIP,ESSA.JK,lainnya,17,2026-03-26
30.5,6.6,30.0,50.0,50.0,0,0.375,SKIP,SILO.JK,lainnya,18,2026-03-26
30.4,6.2,30.0,50.0,50.0,0,0.375,SKIP,MDKA.JK,lainnya,19,2026-03-26
30.4,6.2,30.0,50.0,50.0,0,0.375,SKIP,BJBR.JK,lainnya,20,2026-03-26
30.4,6.1,30.0,50.0,50.0,0,0.375,SKIP,MAIN.JK,lainnya,21,2026-03-26
30.4,6.4,30.0,50.0,50.0,0,0.375,SKIP,HRUM.JK,lainnya,22,2026-03-26
30.3,5.6,30.0,50.0,50.0,0,0.375,SKIP,BJTM.JK,lainnya,23,2026-03-26
30.2,5.4,30.0,50.0,50.0,0,0.375,SKIP,BNGA.JK,lainnya,24,2026-03-26
30.1,4.8,30.0,50.0,50.0,0,0.375,SKIP,TKIM.JK,lainnya,25,2026-03-26
30.1,4.7,30.0,50.0,50.0,0,0.375,SKIP,AUTO.JK,lainnya,26,2026-03-26
30.1,4.7,30.0,50.0,50.0,0,0.375,SKIP,JPFA.JK,lainnya,27,2026-03-26
30.0,4.1,30.0,50.0,50.0,0,0.375,SKIP,INKP.JK,lainnya,28,2026-03-26
29.9,3.8,30.0,50.0,50.0,0,0.375,SKIP,TINS.JK,lainnya,29,2026-03-26
29.8,3.2,30.0,50.0,50.0,0,0.375,SKIP,GGRM.JK,lainnya,30,2026-03-26
29.7,2.9,30.0,50.0,50.0,0,0.375,SKIP,EXCL.JK,lainnya,31,2026-03-26
29.6,2.2,30.0,50.0,50.0,0,0.375,SKIP,BBTN.JK,lainnya,32,2026-03-26
29.6,2.2,30.0,50.0,50.0,0,0.375,SKIP,RALS.JK,lainnya,33,2026-03-26
29.6,6.6,30.0,50.0,50.0,0,0.353,SKIP,SIMP.JK,agribisnis,34,2026-03-26
29.5,6.1,30.0,50.0,50.0,0,0.353,SKIP,AALI.JK,agribisnis,35,2026-03-26
29.5,2.2,30.0,50.0,50.0,0,0.375,SKIP,HMSP.JK,lainnya,36,2026-03-26
29.5,2.1,30.0,50.0,50.0,0,0.375,SKIP,WIIM.JK,lainnya,37,2026-03-26
29.3,5.2,30.0,50.0,50.0,0,0.353,SKIP,LSIP.JK,agribisnis,38,2026-03-26
